,d,r,state,upper_bound,lower_bound
0,1.0,1.5377523303,6COY,1.5808159113,1.4946887493
1,2.0,1.4160951376,6COY,1.4540095329,1.3781807422999999
2,3.0,1.1803830862,6COY,1.2242798805,1.1364862919
3,4.0,1.0816412567999998,6COY,1.1207089423999999,1.0425735712
4,5.0,1.1165494918999999,6COY,1.1723581553,1.0607408285
5,6.0,1.1727709770499999,6COY,1.1921050548999998,1.1534368992
6,7.0,1.31631225345,6COY,1.3838136196000002,1.2488108873000001
7,8.0,1.72998666765,6COY,1.8658195734,1.5941537619
8,9.0,2.2824801604000005,6COY,2.340412855166667,2.2436267375999996
9,10.0,2.59906876085,6COY,2.6941030025,2.5040345191999998
10,11.0,2.8379859924499997,6COY,2.8555328845999997,2.8204391003
11,12.0,2.6704854965,6COY,2.7076346874,2.6333363056
12,13.0,2.55803179745,6COY,2.5629293919,2.553134203
13,14.0,2.6675152778499998,6COY,2.7180030345999997,2.6170275211000003
0,2.0,0.7849485921137083,5TQQ,0.8249676164608264,0.7449295677665901
1,3.0,1.14737216986466,5TQQ,1.2768266031114357,1.0179177366178842
2,4.0,1.6626143967471165,5TQQ,1.7657400904801959,1.5594887030140372
3,5.0,1.8557161537288103,5TQQ,1.8611084146851775,1.850323892772443
4,6.0,1.9090814428266056,5TQQ,1.94428836927943,1.8738745163737813
5,7.0,2.0951797895624154,5TQQ,2.1110208910506105,2.07933868807422
6,8.0,2.009956055590329,5TQQ,2.055300968915959,1.9646111422646992
7,9.0,1.8597467138499255,5TQQ,1.8862905686663138,1.8332028590335372
8,10.0,1.9414848547344128,5TQQ,1.9838804779322459,1.8990892315365797
9,11.0,2.0089507967587847,5TQQ,2.0360428015025755,1.9818587920149944
10,12.0,1.8859150495078045,5TQQ,1.93963476089063,1.8321953381249791
11,13.0,1.8116127472075338,5TQQ,1.8297600763184745,1.7934654180965932
12,14.0,1.9948387512291266,5TQQ,2.0509592339558367,1.9387182685024165
13,15.0,2.300929841333275,5TQQ,2.403799089657587,2.1980605930089636
14,16.0,2.535220420536953,5TQQ,2.550871509586582,2.519569331487324
15,17.0,2.564923869489344,5TQQ,2.570823845907793,2.559023893070895
16,18.0,2.522051636466231,5TQQ,2.526313492668869,2.517789780263594
17,19.0,2.631531311312539,5TQQ,2.66705005555153,2.596012567073548
0,2.0,1.3582361757274803,C_oi,1.3834732911523009,1.331302923126266
1,3.0,1.4231349879716846,C_oi,1.4403082965044274,1.405490084077474
2,4.0,1.4250500017170675,C_oi,1.4411621190318327,1.4078752406738895
3,5.0,1.3845323581538682,C_oi,1.4007995014093688,1.3685499646186887
4,6.0,1.3310765697172764,C_oi,1.3479255387201499,1.313756685569483
5,7.0,1.3180065853177036,C_oi,1.3378132593925791,1.2984156676849696
6,8.0,1.3922571695051102,C_oi,1.4148266511533691,1.3684529363594173
7,9.0,1.4864176742280277,C_oi,1.5122149028234786,1.4611460310397564
8,10.0,1.5635283408623255,C_oi,1.5851509139895654,1.5395126994607897
9,11.0,1.6519078719626201,C_oi,1.67368161737444,1.6303858703180116
10,12.0,1.760598513952468,C_oi,1.7815027204368021,1.7410160515307416
11,13.0,1.8237820989598281,C_oi,1.8441369035836517,1.8047379618199564
12,14.0,1.8668931580883026,C_oi,1.8867509698513114,1.8467214166346824
13,15.0,1.9040136760046555,C_oi,1.9255781759431823,1.8822763867764416
14,16.0,1.936867841560303,C_oi,1.9612803086725417,1.9137677477633668
15,17.0,1.9540574685650982,C_oi,1.9850592047371953,1.9233864234588287
16,18.0,1.9528853923278098,C_oi,1.993289430508493,1.9127503839802462
17,19.0,1.9609061529156027,C_oi,1.9831535427428522,1.9381589427450119
0,2.0,1.3367856309060648,C_o,1.3726827729994988,1.3009420780256018
1,3.0,1.3213722977226303,C_o,1.3480175170250845,1.295315689951479
2,4.0,1.3545430105535496,C_o,1.387623443977549,1.3200317515063928
